                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.97129,                 1.1709,                 1.8526,                 1.1079,                 0.2749,                0.72521,                0.32708,                0.20379,                 0.2776,                0.68936,                0.33716,                0.18522,                 1.2261,                 2.9674,                 5.8154,                  1.348,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.0049,                 1.3365,                 1.6861,                 1.1249,                0.38556,                 0.6892,                0.48622,                0.32602,                0.38556,                 0.6892,                0.48622,                0.29306,                 1.0822,                  3.339,                 3.9453,                 1.2625,             0.00077823,             0.00077823,             0.00077823
                     26,                 0.9888,                 1.6134,                 1.5353,                 1.1487,                0.37373,                0.85427,                 0.5269,                0.39664,                0.37373,                0.85427,                 0.5269,                0.37832,                0.88809,                 1.4281,                 1.6415,                 1.1261,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.0492,                 1.4282,                 1.6175,                 1.1903,                0.32891,                0.97222,                0.52059,                0.38722,                0.32891,                0.97222,                0.51834,                0.38085,                 0.9086,                 1.1784,                 1.4691,                 1.1242,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.1311,                 1.2368,                 1.6817,                 1.2307,                0.33566,                0.94658,                 0.5101,                0.37648,                0.33566,                0.94658,                0.50696,                0.38531,                0.87207,                 1.1548,                 1.4719,                 1.0992,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.0234,                  1.295,                 1.5053,                 1.1462,                0.33776,                0.91671,                0.48073,                0.36246,                0.33163,                0.90282,                0.47889,                0.36883,                0.83547,                 1.2347,                 1.5545,                 1.0751,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.0041,                 1.2784,                 1.4662,                 1.1104,                0.35079,                0.85044,                0.46893,                0.34852,                0.35079,                0.85044,                0.46893,                0.33735,                0.89302,                 1.8168,                 1.6369,                 1.0856,             0.00063676,             0.00063676,             0.00063676
                     31,                 0.9317,                  1.127,                 1.5051,                 1.0785,                0.35339,                0.93628,                0.54696,                0.41112,                0.35339,                0.93628,                0.54583,                0.41865,                0.87143,                 1.2816,                  1.406,                 1.0622,             0.00060847,             0.00060847,             0.00060847
                     32,                0.95602,                   1.33,                 1.4077,                 1.0523,                0.36865,                0.93483,                0.54497,                0.42594,                0.36865,                0.93483,                0.54497,                0.41895,                0.89216,                  1.234,                  1.335,                 1.0681,             0.00058017,             0.00058017,             0.00058017
                     33,                0.94853,                 1.2396,                 1.3983,                 1.0667,                0.40241,                  0.862,                 0.5212,                0.41261,                0.40241,                  0.862,                 0.5212,                0.40179,                0.88401,                 1.2232,                 1.2951,                  1.064,             0.00055188,             0.00055188,             0.00055188
                     34,                0.90731,                 1.0783,                 1.3519,                 1.0407,                0.44262,                0.91538,                0.54811,                0.42368,                0.43615,                 0.9015,                0.53404,                0.41886,                0.86199,                 1.0934,                 1.3114,                 1.0419,             0.00052359,             0.00052359,             0.00052359
                     35,                0.93394,                 1.0951,                  1.525,                 1.0928,                0.41942,                0.90894,                0.55552,                0.42378,                0.41942,                0.90894,                0.55552,                 0.4199,                 0.8833,                 1.1108,                  1.299,                 1.0979,             0.00049529,             0.00049529,             0.00049529
                     36,                0.89386,                 1.2422,                 1.3827,                 1.0546,                0.41103,                0.89744,                0.54783,                0.40102,                0.41103,                0.89744,                0.54783,                0.38538,                0.99768,                 1.2803,                 1.3912,                 1.1702,               0.000467,               0.000467,               0.000467
                     37,                 1.0126,                 1.2674,                 1.4062,                 1.1425,                0.40505,                 0.7226,                0.51825,                0.37561,                0.40505,                 0.7226,                0.51876,                0.35945,                 1.0604,                 1.4813,                 1.4827,                 1.2045,              0.0004387,              0.0004387,              0.0004387
                     38,                 0.8658,                 1.1941,                 1.3592,                 1.0354,                 0.3763,                0.81638,                0.51158,                0.36752,                0.37516,                0.80491,                0.51022,                0.35354,                  1.046,                 1.4783,                 1.4673,                  1.184,             0.00041041,             0.00041041,             0.00041041
                     39,                0.83891,                 1.2089,                 1.2919,                 1.0473,                0.46465,                0.64338,                0.53197,                0.40186,                0.46465,                0.64338,                 0.5359,                0.39879,                 0.8862,                  1.167,                 1.3346,                 1.0592,             0.00038211,             0.00038211,             0.00038211
                     40,                0.88244,                 1.0749,                 1.4244,                 1.0319,                0.51794,                0.64296,                0.56466,                0.43562,                0.51794,                0.64296,                0.56073,                0.43295,                0.82401,                 1.0848,                 1.2761,                  1.023,             0.00035382,             0.00035382,             0.00035382
                     41,                 0.7898,                 1.1531,                 1.2798,                 1.0148,                 0.4019,                0.93198,                0.56175,                0.43479,                 0.4019,                0.93198,                0.55968,                0.43942,                 0.8382,                 1.0338,                 1.2586,                 1.0288,             0.00032553,             0.00032553,             0.00032553
                     42,                0.80483,                 1.1185,                 1.2624,                 1.0598,                0.38163,                0.92714,                0.55443,                0.43656,                0.38163,                0.92714,                0.55443,                0.43872,                0.82546,                 1.0274,                 1.2029,                 1.0264,             0.00029723,             0.00029723,             0.00029723
                     43,                 0.8143,                  1.132,                 1.2658,                 1.0859,                0.37966,                0.96047,                0.53858,                0.43111,                0.37966,                0.96047,                 0.5368,                0.43517,                0.78813,                 1.0246,                 1.2003,                 1.0122,             0.00026894,             0.00026894,             0.00026894
                     44,                0.79762,                 1.0678,                 1.1993,                 1.0241,                0.37955,                0.96047,                0.53114,                0.43342,                0.37955,                0.96047,                0.53114,                0.43319,                0.77909,                 1.0276,                 1.2136,                 1.0041,             0.00024064,             0.00024064,             0.00024064
                     45,                0.77197,                 1.0925,                 1.1882,                 1.0303,                0.37896,                0.97436,                0.54631,                0.44319,                0.37896,                0.97436,                0.54631,                0.44337,                0.80039,                 1.0181,                 1.1896,                 1.0044,             0.00021235,             0.00021235,             0.00021235
                     46,                0.78908,                 1.0479,                 1.1908,                 1.0287,                0.37583,                0.97436,                0.54491,                0.43266,                0.37583,                0.97436,                0.54491,                0.44002,                0.79766,                 1.0217,                 1.1801,                 1.0062,             0.00018406,             0.00018406,             0.00018406
                     47,                0.76968,                 1.0126,                 1.1744,                 1.0264,                0.39666,                0.94529,                0.52994,                0.42091,                0.39666,                0.94529,                0.52994,                0.42527,                0.80099,                 1.0188,                 1.1811,                 1.0126,             0.00015576,             0.00015576,             0.00015576
                     48,                0.79825,                 1.0696,                 1.0859,                  1.026,                0.39444,                 0.9453,                 0.5165,                0.40913,                0.39444,                 0.9453,                 0.5165,                0.41196,                0.80082,                 1.0078,                 1.1618,                 1.0137,             0.00012747,             0.00012747,             0.00012747
                     49,                0.70046,                 1.0103,                 1.1374,                0.97693,                0.38826,                0.96047,                0.51294,                 0.4063,                0.38826,                0.96047,                0.51294,                0.40932,                0.79515,                0.99632,                  1.136,                  1.011,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.76742,                 1.0514,                 1.0655,                  0.997,                0.39718,                      1,                0.52382,                0.41522,                0.39718,                      1,                0.52382,                0.42035,                0.79086,                0.98715,                 1.1131,                 1.0073,             7.0878e-05,             7.0878e-05,             7.0878e-05
